Case Name,TS Length,Segments,Max Seq Length,Max Seq Length
100k-20seg-50L,100000,20,60,40
100k-200seg-50L,100000,200,60,40
100k-20seg-50H,100000,20,99,1
100k-200seg-50H,100000,200,99,1
100k-50seg-20L,100000,50,30,10
100k-500seg-20L,100000,500,30,10
100k-50seg-20H,100000,50,39,1
100k-500seg-20H,100000,500,39,1
100k-10seg-100L,100000,10,110,90
100k-100seg-100L,100000,100,110,110
100k-10seg-100H,100000,10,199,1
100k-100seg-100H,100000,100,199,1
100k-2seg-500L,100000,2,550,450
100k-20seg-500L,100000,20,550,450
100k-2seg-500H,100000,2,999,1
100k-20seg-500H,100000,20,999,1
10k-2seg-50L,10000,2,60,40
10k-20seg-50L,10000,20,60,40
10k-2seg-50H,10000,2,99,1
10k-20seg-50H,10000,20,99,1
10k-5seg-20L,10000,5,30,10
10k-50seg-20L,10000,50,30,10
10k-5seg-20H,10000,5,39,1
10k-50seg-20H,10000,50,39,1
10k-1seg-100L,10000,1,110,90
10k-10seg-100L,10000,10,110,110
10k-1seg-100H,10000,1,199,1
10k-10seg-100H,10000,10,199,1
10k-2seg-500L,10000,2,550,450
10k-2seg-500H,10000,2,999,1
