noise_std,spearman_q,kendall_q,mean_deviation_q,metric_name
0.0,1.0,1.0,0.0,CCE
0.05,1.0,1.0,0.0,CCE
0.1,1.0,1.0,0.0,CCE
0.0,1.0,1.0,0.0,F1
0.05,0.997708108108108,0.9927972972972972,0.027027027027027,F1
0.1,0.9954135135135136,0.9867864864864864,0.0486486486486486,F1
0.0,1.0,1.0,0.0,F1-PA
0.05,0.997708108108108,0.9927972972972972,0.027027027027027,F1-PA
0.1,0.9954135135135136,0.9867864864864864,0.0486486486486486,F1-PA
0.0,0.9996729729729732,0.9988,0.0054054054054054,Reduced-F1
0.05,0.9957432432432431,0.9891945945945946,0.0432432432432432,Reduced-F1
0.1,0.9934486486486486,0.9831837837837838,0.0648648648648648,Reduced-F1
0.0,0.8823918918918918,0.8870810810810812,0.5081081081081081,R-based F1
0.05,0.8742,0.8774729729729729,0.5405405405405406,R-based F1
0.1,0.9452945945945946,0.920718918918919,0.3459459459459459,R-based F1
0.0,0.8856675675675676,0.8066108108108108,0.7675675675675676,eTaPR
0.05,0.8155648648648648,0.7285324324324325,1.0810810810810811,eTaPR
0.1,0.8355459459459459,0.7453432432432432,0.9513513513513514,eTaPR
0.0,0.9868972972972972,0.9675702702702704,0.1351351351351351,Aff-F1
0.05,0.9367783783783784,0.905108108108108,0.3189189189189189,Aff-F1
0.1,0.9348108108108109,0.9075135135135136,0.3405405405405405,Aff-F1
0.0,0.9764162162162162,0.953154054054054,0.1783783783783783,UAff-F1
0.05,0.927608108108108,0.8918972972972973,0.3513513513513513,UAff-F1
0.1,0.927272972972973,0.8991054054054054,0.3675675675675675,UAff-F1
0.0,1.0,1.0,0.0,AUC-ROC
0.05,1.0,1.0,0.0,AUC-ROC
0.1,1.0,1.0,0.0,AUC-ROC
0.0,1.0,1.0,0.0,VUS-ROC
0.05,1.0,1.0,0.0,VUS-ROC
0.1,1.0,1.0,0.0,VUS-ROC
