noise_std,spearman_q,kendall_q,mean_deviation_q,metric_name,spearman_p,kendall_p,mean_deviation_p
0.05,0.9998364864864864,0.9994,0.0027027027027027,VUS-ROC,0.9886486486486488,0.9837845945945946,0.0229729729729729
0.1,0.9998364864864864,0.9994,0.0027027027027027,VUS-ROC,0.9875675675675676,0.981982972972973,0.0256756756756756
0.0,1.0,1.0,0.0,CCE,1.0,1.0,0.0
0.05,1.0,1.0,0.0,CCE,1.0,1.0,0.0
0.1,1.0,1.0,0.0,CCE,1.0,1.0,0.0
0.0,0.9997547297297296,0.9991,0.004054054054054,F1,1.0,1.0,0.0
0.05,0.9921412162162164,0.9789837837837838,0.0878378378378378,F1,1.0,1.0,0.0
0.1,0.790747972972973,0.8135162162162163,0.7094594594594594,F1,1.0,1.0,0.0
0.0,0.9996729729729732,0.9988,0.0054054054054054,F1-PA,1.0,1.0,0.0
0.05,0.9897648648648648,0.9729783783783784,0.1135135135135135,F1-PA,1.0,1.0,0.0
0.1,0.7860810810810811,0.8030067567567567,0.7418918918918919,F1-PA,1.0,1.0,0.0
0.0,0.9793614864864866,0.975377027027027,0.0702702702702702,Reduced-F1,1.0,1.0,0.0
0.05,0.952337162162162,0.9351405405405404,0.2121621621621621,Reduced-F1,1.0,1.0,0.0
0.1,0.7520108108108108,0.7666709459459459,0.831081081081081,Reduced-F1,1.0,1.0,0.0
0.0,0.7439933823529411,0.7401970588235294,0.8696073529411764,R-based F1,0.7827380952380952,0.7738110119047619,0.2767857142857143
0.05,0.7419358108108108,0.716222972972973,0.9864864864864864,R-based F1,0.7816216216216216,0.7666662162162162,0.2756756756756757
0.1,0.5565972972972973,0.5657675675675675,1.537837837837838,R-based F1,0.8016216216216216,0.7882891891891891,0.25
0.0,0.8808418918918919,0.866070945945946,0.4810810810810811,eTaPR,0.8940540540540541,0.8837856756756757,0.1472972972972973
0.05,0.866675,0.8555625,0.525,eTaPR,0.86,0.85,0.175
0.1,0.887875,0.877775,0.475,eTaPR,0.8736842105263158,0.8596526315789474,0.1578947368421052
0.0,0.9735513513513514,0.9477560810810812,0.2162162162162162,Aff-F1,0.9145945945945946,0.8900954054054054,0.1567567567567567
0.05,0.9339952702702704,0.8867939189189189,0.4391891891891892,Aff-F1,0.9167567567567568,0.8909972972972973,0.1554054054054054
0.1,0.742920945945946,0.7312344594594595,0.9972972972972972,Aff-F1,0.9286486486486488,0.9045091891891892,0.1391891891891891
0.0,0.966754054054054,0.9384432432432432,0.2567567567567567,UAff-F1,0.9210810810810812,0.8936999999999999,0.154054054054054
0.05,0.9201554054054052,0.8666770270270271,0.5175675675675675,UAff-F1,0.8702702702702703,0.8432494594594594,0.2189189189189189
0.1,0.728425,0.7108175675675676,1.0837837837837838,UAff-F1,0.8805405405405405,0.8522570270270271,0.204054054054054
0.0,1.0,1.0,0.0,AUC-ROC,1.0,1.0,0.0
0.05,0.9997547297297296,0.9991,0.004054054054054,AUC-ROC,0.9805405405405404,0.9738745945945946,0.0378378378378378
0.1,0.9997547297297296,0.9991,0.004054054054054,AUC-ROC,0.98,0.9729737837837836,0.0391891891891891
0.0,1.0,1.0,0.0,VUS-ROC,1.0,1.0,0.0
0.05,0.9998364864864865,0.9994000000000001,0.002702702702702703,VUS-ROC,0.9886486486486487,0.9837845945945946,0.022972972972972974
0.1,0.9998364864864865,0.9994000000000001,0.002702702702702703,VUS-ROC,0.9875675675675675,0.981982972972973,0.025675675675675677
