tau,gamma,spearman,kendall,mean_deviation
0.1,1.0,1.0,1.0,0.0
0.1,5.0,1.0,1.0,0.0
0.1,10.0,1.0,1.0,0.0
0.1,20.0,1.0,1.0,0.0
0.1,30.0,1.0,1.0,0.0
0.3,1.0,1.0,1.0,0.0
0.3,5.0,1.0,1.0,0.0
0.3,10.0,1.0,1.0,0.0
0.3,20.0,1.0,1.0,0.0
0.3,30.0,1.0,1.0,0.0
0.5,1.0,1.0,1.0,0.0
0.5,5.0,1.0,1.0,0.0
0.5,10.0,1.0,1.0,0.0
0.5,20.0,1.0,1.0,0.0
0.5,30.0,1.0,1.0,0.0
0.7,1.0,1.0,1.0,0.0
0.7,5.0,1.0,1.0,0.0
0.7,10.0,1.0,1.0,0.0
0.7,20.0,1.0,1.0,0.0
0.7,30.0,1.0,1.0,0.0
0.9,1.0,1.0,1.0,0.0
0.9,5.0,1.0,1.0,0.0
0.9,10.0,1.0,1.0,0.0
0.9,20.0,1.0,1.0,0.0
0.9,30.0,1.0,1.0,0.0
